0;47;0;48
5;45;5;46.7
10;44;10;45.7
15;43.3;15;44.8
20;42.5;20;44
25;41.8;25;43.3
30;41.2;30;42.4
35;40.5;35;41.8
40;40.0;40;41.2
45;39.2;45;40.6
50;38.5;50;40.0
60;37.6;60;38.9
70;36.5;70;38.0
80;35.8;80;36.9
90;35.1;90;36.2
100;34.2;100;35.6
110;33.6;110;35.0
120;32.8;120;34.5
130;32.4;130;34.0
140;32.0;140;33.6
150;31.5;150;33.0
160;31.0;160;32.9
170;30.4;170;32.4
180;30;180;32.2
190;29.6;190;31.8
200;29.2;200;31.5
